age_restriction,categories,dates,description,favorites_count,foreign_url,images,phone,place,price,subway,timetable,title
,"['amusement', 'kids', 'recreation']",,"<p>SТАНЦИЯ 2025 — необычный развлекательно-игровой центр, где можно устроить лазертаг-битву в декорациях, реалистично воссоздающих заброшенную космическую станцию, пройти лазертаг-квест с участием актёров, исследовать миры виртуальной реальности, оказаться в центре вихря на аттракционе Vortex Tunnel или дружной командой сыграть в нёрф — спортивную игру со специальными бластерами.</p>",170,https://vk.com/spirit.station,https://media.kudago.com/images/place/ce/9f/ce9f9f4fb3181b1bf131f3db71a6660f.jpg,+7 495 215-56-31,,,Волгоградский проспект,"пн–пт 13:00–22:00, сб, вс 11:00–22:00",развлекательно-игровой центр SТАНЦИЯ 2025
,"['amusement', 'kids', 'sights']",,"<p>Десятки VR-игр всех жанров для всех возрастов, площадка для праздников и нереальная атмосфера киберпанка — всё это ждёт гостей одного из крупнейших VR-клубов Москвы.</p>",103,https://www.nerealnoemesto.ru/,https://media.kudago.com/images/place/67/5f/675f550a4878b642807120675afa1646.jpg,+7 495 121-33-62,,,,"пн–пт 12:00–0:00, сб, вс 10:00–0:00",клуб виртуальной реальности «Нереальное место»
,"['amusement', 'kids', 'sights']",,"<p>В «Москвариуме» на ВДНХ можно интересно провести время всей семьёй: увидеть огромное количество морских обитателей, послушать увлекательные лекции, посетить шоу с участием морских животных и послушать живую музыку в ночном океанариуме.</p>",148,https://tickets.moskvarium.ru/,https://media.kudago.com/images/place/0e/60/0e60729f3ed8b8a36ce1112b291f58e2.jpg,+7 499 677-77-77,,,"Ботанический сад, ВДНХ",ежедневно 10:00–22:00,«Москвариум»
,"['amusement', 'kids', 'recreation']",,"<p>Крупнейший в Восточной Европе комплекс водных развлечений «Мореон» объединил под своей крышей развлечения для детей и взрослых. На территории комплекса есть аквапарк с летней террасой, банный комплекс, СПА-пространство в стиле острова Санторини, боулинг со специальными дорожками для детей и фитнес с бассейном и панорамными окнами.</p>
",455,http://more-on.ru/?utm_source=kudago&utm_medium=komplex_moreon&utm_campaign=site,https://media.kudago.com/images/place/61/d5/61d598bc3624cd10aa83256417d3b824.jpg,+7 495 481-60-43,,,Ясенево,"пн–пт 9:00–22:00, сб, вс 9:00–22:00",комплекс водных развлечений «Мореон»
,"['kids', 'museums', 'park', 'palace', 'attractions']",,"<p>Царские дворцы в стиле русской готики, чистые пруды... Парк, который так и не стал императорской резиденцией, сегодня открыт для всех, кто хочет найти уголок спокойствия в шумной столице.</p>
",1173,http://www.tsaritsyno-museum.ru,https://media.kudago.com/images/place/28/48/2848bdcedd8900eb681f2e6b62972809.jpg,+7 495 322-44-33,,,"Орехово, Царицыно","вт–чт 10:00–18:00, пт, сб 10:00–20:00, вс 10:00–18:00",Музей-заповедник «Царицыно»
,['bar'],,"<p>Фирменные блюда от шеф-повара, коллекция крафтогово пива, насыщенная развлекательная программа, отличная компания — всё это о просторном двухэтажном баре Beer Harbor. Огромный выбор гастрономических хитов и напитков позволяет хоть каждый день открывать для себя что-то новое!</p>
",17,https://vk.com/beerharbor,https://media.kudago.com/images/place/b4/66/b466909b5f2c33a4731707d8c3719da4.jpg,,,,"Китай-город, Курская, Чистые пруды",,крафтовый бар Beer Harbor
,"['amusement', 'kids', 'shops']",,"<p>Центральный детский магазин на Лубянке — любимое ностальгическое место не одного поколения москвичей и гостей столицы. Сюда приезжают с экскурсиями из других городов, приходят в поиске душевных подарков и за ощущением сказки в центре Москвы. Но главная ассоциация с миром детства это, конечно, игрушки — те самые, что взрослели вместе с вами, увлекали и дарили самое искреннее счастье.</p>",3,https://cdmigrushki.cdm-moscow.ru/?utm_source=kudago&utm_medium=article&utm_campaign=longread,https://media.kudago.com/images/place/d6/46/d6462b6ca52dd887495209462ce781d6.jpg,,,,"Кузнецкий Мост, Лубянка, Площадь Революции, Театральная",ежедневно 10:00–22:00,«ЦДМ Игрушки»: ожившая детская мечта в центре Москвы
,"['coworking', 'photo-places', 'restaurants', 'art-space']",,"<p>Атмосферное место с современным дизайном и зелёными растениями, открытое в бывших конюшнях и каретных сараях.</p>",2,,https://media.kudago.com/images/place/5a/24/5a24df94439e8bce0dec0a015d36e15b.jpg,,,,"Курская, Чкаловская","пн–чт 12:00–0:00, пт–вс 12:00–3:00",Пространство Yauza Place
,"['amusement', 'museums']",,"<p>Радость и грусть, злость и обида, восторг и отвращение — ежедневно каждый из нас переживает множество эмоций. Познакомьтесь с этими состояниями поближе и научитесь распознавать каждое из них на впечатляющей прогулке по Музею Эмоций.</p>",439,https://museumofemotions.ru/msk?utm_source=kudagomoscow&utm_medium=mainblock,https://media.kudago.com/images/place/65/c8/65c87669a64c75be6ec129907e11a61f.png,+7 931 009-80-86,,,Курская,ежедневно 11:00–21:00,Музей Эмоций
,"['amusement', 'sights']",,"<p>RoofTop стирает границы между вами и небом! Комплекс современных пространств с видом на центр Москвы состоит из прозрачных купольных беседок на крыше и лофтов с выходом на веранду. Здесь можно провести незабываемый день рождения, романтическое свидание, корпоратив или любое другое событие — необычный формат площадки наверняка удивит ваших гостей. </p>",74,https://rooftop-msk.ru/?utm_source=kudago_rooftop-msk/,https://media.kudago.com/images/place/0d/4a/0d4aea6c5e05f121287457ff06e68966.jpg,+7 958 538-66-68,,,ВДНХ,ежедневно 12:00–6:00,Roof Top — купольные беседки и лофты на крыше для мероприятий и праздников
