id,images,title,description
32426,https://media.kudago.com/images/place/ce/9f/ce9f9f4fb3181b1bf131f3db71a6660f.jpg,развлекательно-игровой центр SТАНЦИЯ 2025,"SТАНЦИЯ 2025 — необычный развлекательно-игровой центр, где можно устроить лазертаг-битву в декорациях, реалистично воссоздающих заброшенную космическую станцию, пройти лазертаг-квест с участием актёров, исследовать миры виртуальной реальности, оказаться в центре вихря на аттракционе Vortex Tunnel или дружной командой сыграть в нёрф — спортивную игру со специальными бластерами."
34245,https://media.kudago.com/images/place/67/5f/675f550a4878b642807120675afa1646.jpg,клуб виртуальной реальности «Нереальное место»,"Десятки VR-игр всех жанров для всех возрастов, площадка для праздников и нереальная атмосфера киберпанка — всё это ждёт гостей одного из крупнейших VR-клубов Москвы."
33485,https://media.kudago.com/images/place/0e/60/0e60729f3ed8b8a36ce1112b291f58e2.jpg,«Москвариум»,"В «Москвариуме» на ВДНХ можно интересно провести время всей семьёй: увидеть огромное количество морских обитателей, послушать увлекательные лекции, посетить шоу с участием морских животных и послушать живую музыку в ночном океанариуме."
13356,https://media.kudago.com/images/place/61/d5/61d598bc3624cd10aa83256417d3b824.jpg,комплекс водных развлечений «Мореон»,"Крупнейший в Восточной Европе комплекс водных развлечений «Мореон» объединил под своей крышей развлечения для детей и взрослых. На территории комплекса есть аквапарк с летней террасой, банный комплекс, СПА-пространство в стиле острова Санторини, боулинг со специальными дорожками для детей и фитнес с бассейном и панорамными окнами."
531,https://media.kudago.com/images/place/28/48/2848bdcedd8900eb681f2e6b62972809.jpg,Музей-заповедник «Царицыно»,"Царские дворцы в стиле русской готики, чистые пруды... Парк, который так и не стал императорской резиденцией, сегодня открыт для всех, кто хочет найти уголок спокойствия в шумной столице."
34761,https://media.kudago.com/images/place/82/fe/82fe4bd23803b3b7590989d44b71412a.jpg,Центр городской культуры Графит,"Новое общественное пространство на территории бывшего промышленного района объединило в себе всё, что так любит молодёжь: разнообразную еду, современное искусство и вечеринки."
30869,https://media.kudago.com/images/place/b4/66/b466909b5f2c33a4731707d8c3719da4.jpg,крафтовый бар Beer Harbor,"Фирменные блюда от шеф-повара, коллекция крафтогово пива, насыщенная развлекательная программа, отличная компания — всё это о просторном двухэтажном баре Beer Harbor. Огромный выбор гастрономических хитов и напитков позволяет хоть каждый день открывать для себя что-то новое!"
35015,https://media.kudago.com/images/place/d6/46/d6462b6ca52dd887495209462ce781d6.jpg,«ЦДМ Игрушки»: ожившая детская мечта в центре Москвы,"Центральный детский магазин на Лубянке — любимое ностальгическое место не одного поколения москвичей и гостей столицы. Сюда приезжают с экскурсиями из других городов, приходят в поиске душевных подарков и за ощущением сказки в центре Москвы. Но главная ассоциация с миром детства это, конечно, игрушки — те самые, что взрослели вместе с вами, увлекали и дарили самое искреннее счастье."
35317,https://media.kudago.com/images/place/ba/48/ba48e93f386e48bb2d5795f163b3bc82.png,фэнтези-бар «Время чудес»,"Бар, притаившийся в переулке у станции метро «Трубная», — портал во вселенную «Властелина колец», «Гарри Поттера» и других любимых фэнтези.  Переступив его порог, гости переносятся в мир магии и приключений."
16645,https://media.kudago.com/images/place/34/97/34978c9bf958bd25b8e867abca57c289.jpg,«Кубикулум» — игра-квест,"«Кубикулум» — это квесты в реальности на территории дизайн-завода «Флакон». Подходят как для отдельного развлечения, так и для празднования корпоратива, взрослого или детского дня рождения для компании до 30 человек."
32703,https://media.kudago.com/images/place/2c/53/2c53928851278bc98cfcb48c31bb20de.png,Музей Эмоций,"Радость и грусть, злость и обида, восторг и отвращение — ежедневно каждый из нас переживает множество эмоций. Познакомьтесь с этими состояниями поближе и научитесь распознавать каждое из них на впечатляющей прогулке по Музею Эмоций."
26440,https://media.kudago.com/images/place/e1/60/e160c87f6198ece74f0680bab833e4fc.png,Музей Темноты,"Музей Темноты приглашает в пространство, погружающее вас в головокружительную глубину познания себя. Музей был создан в 2016 году для привлечения внимания людей к жизни с другим видением — существованию в темноте и исследованию того эффекта, которого мы достигаем, находясь какое-то время без света."
18778,https://media.kudago.com/images/place/72/fd/72fdca056b037c8f7eff5ac304d73282.jpg,креативное пространство «Люмьер-Холл»,"В креативном пространстве «Люмьер-Холл» благодаря мультимедийным выставкам оживают полотна великих мастеров, ценители кинематографа получают удовольствие от тематических кинопоказов, а на концертах и фестивалях кипит яркая, современная, полная впечатлений жизнь."
35310,https://media.kudago.com/images/place/b3/40/b3406ab790eef4dc5046404d8608de5e.jpg,иммерсивное арт-пространство Luminar,"Пространство с первых минут поражает технической сложностью и уникальным способом реализации принципа иммерсивного искусства. Здесь стираются физические границы, зрители попадают в фантастическую цифровую среду, становясь участниками динамичного сюжета."
35370,https://media.kudago.com/images/place/0a/e8/0ae8421b305ce38252999a72ff145778.jpg,Музей Магии на Новом Арбате,"Хотите почувствовать себя волшебником, разгадать тайны фокусов легендарных иллюзионистов и самим стать частью магического перформанса? Тогда Музей Магии ждёт вас в своём уникальном, по-настоящему волшебном пространстве!"
33393,https://media.kudago.com/images/place/0c/8f/0c8f584abbd7b11d694b0f07fd3eaa9c.jpg,картинг-центр Lonato Karting,"Крытый картодром для детей и взрослых, где можно насладиться скоростью, устроить корпоративное соревнование и провести незабываемый праздник."
936,https://media.kudago.com/images/place/00/d1/00d1a23bc86edc13c9aaa43e5599c7e3.JPG,Центр современного искусства «МАРС»,"Возникнув в 1988 году, Центр «МАРС» стал первой частной галереей, где экспонировались произведения современного искусства. Сегодня Центр «МАРС» идёт в ногу со временем и говорит на актуальном языке мультимедийного арта."
33913,https://media.kudago.com/images/place/0d/4a/0d4aea6c5e05f121287457ff06e68966.jpg,Roof Top — купольные беседки и лофты на крыше для мероприятий и праздников,"RoofTop стирает границы между вами и небом! Комплекс современных пространств с видом на центр Москвы состоит из прозрачных купольных беседок на крыше и лофтов с выходом на веранду. Здесь можно провести незабываемый день рождения, романтическое свидание, корпоратив или любое другое событие — необычный формат площадки наверняка удивит ваших гостей."
35386,https://media.kudago.com/images/place/ba/25/ba258abd30a7f5d23517f9cde63a9683.jpg,пространство «Арт-Тир»,"«Арт-Тир» — интерактивное творческое пространство, где можно выплеснуть эмоции на холст с помощью красок в нескольких необычных и даже неожиданных техниках рисования картин в жанре современного искусства."
31013,https://media.kudago.com/images/place/b2/13/b213db837e5ed04216832c4126685d48.jpg,смотровая площадка PANORAMA360 в ММДЦ «Москва-Сити»,PANORAMA360 находится на 89 этаже башни «Федерация-Восток» комплекса «Москва-Сити» и считается самой высокой смотровой площадкой в Европе.
34665,https://media.kudago.com/images/place/8a/61/8a61192670a10192a9ceefb6a7ca31b2.jpg,лофт-центр Б69,Лофт-центр Б69 — уникальное место для любого формата мероприятий: от мастер-классов и конференций до зажигательных вечеринок и свадеб.
33724,https://media.kudago.com/images/place/65/cd/65cd48de2b1a0f8622b9aca96854ccf5.jpg,лофт-пространство Рarty Hard,"Устроить вечеринку в стиле Майами-бич, день рождения на Диком Западе, состязание в головоломках на Бейкер-стрит или посиделки в общей гостиной Гриффиндора теперь проще простого. В лофт-пространстве Party Hard найдётся комната для события на любой вкус. Здесь можно веселиться по полной программе, заплатив только за аренду, или заказать праздник под ключ."
35365,https://media.kudago.com/images/place/61/51/615109e647e2e53c67b569b44f393f1d.jpg,картинг-клубы Drift Karting,"Испытайте невероятные эмоции на картинге с управляемым заносом! Drift Karting — это уникальное развлечение для всех возрастов, сюда обязательно захочется вернуться."
35133,https://media.kudago.com/images/place/bd/78/bd78c6a4dbe0a94f4dd11f34666ca5b9.jpeg,Ресторан She,"Рестораны She на Большой Никитской и в бизнес-центре «Белая площадь» — это заведения будущего, объединившие в себе актуальные гастрономические и общественные тренды, такие как цифровизация, ответственное потребление, переработка, равные возможности, толерантность."
34864,https://media.kudago.com/images/place/a6/ae/a6ae034b73697cf43297805babd7b753.png,банный spa-комплекс Siberia,Siberia — премиальный спа-комплекс из пяти сибирских бань в центре Москвы с собственным меню из блюд сибирской кухни. Гости найдут здесь атмосферу душевного тепла и максимального внимания к деталям.
35495,https://media.kudago.com/images/place/5d/9b/5d9beab30b5c785935283624a75a8cff.jpg,сёрф-центр SURF BROTHERS SKOLKOVO,"Сёрф-центр SURF BROTHERS в Сколково — уникальное пространство с атмосферой драйва и путешествий. Здесь можно впервые встать на сёрф-доску, улучшить свои навыки или подготовиться к профессиональным соревнованиям — в любом случае вы получите невероятные эмоции и станете частью активного сообщества, влюблённого в сёрфинг и океан."
27250,https://media.kudago.com/images/place/db/1c/db1ce60b4f821b6e857d4f4a60d955e2.jpg,Парки развлечений Joki Joya,"Аттракционы, интересные и детям, и взрослым, игровые зоны и зоны отдыха, тематические комнаты для проведения детских и семейных праздников — где найти такое идеальное сочетание? Подсказываем — в сети парков развлечений Joki Joya! Здесь можно весело и занимательно провести время с семьёй, встретиться с друзьями или отметить день рождения ребёнка. А для взрослых бонус — родителям и сопровождающим старше 18 лет вход свободный!"
35461,https://media.kudago.com/images/place/f2/67/f26702b2702030c8b506517e5ad0f671.jpg,студия звукотерапии Sound Healing Center,"Пространство для отдыха и расслабления находится в самом центре Москвы — в знаменитой сталинской высотке на Котельнической набережной, толстые стены которой надёжно оберегают и защищают от городского шума. Здесь можно забыть о суете и погрузиться в себя под звуки поющих чаш, гонгов и других этнических музыкальных инструментов."
33932,https://media.kudago.com/images/place/aa/54/aa54834863fb7498c977f4c95e3d615f.jpg,ресторан «Горыныч»,"Ресторан с кухней открытого огня: здесь пекут и жарят в печи и на гигантском гриле, а из панорамных окон открывается старая Москва. С четверга по субботу ресторан открыт до двух часов ночи."
35306,https://media.kudago.com/images/place/1c/eb/1cebbe63e4beb550eb7272cbfb786ff3.jpg,пиксельная комната «Пиксель Квест»,"Подвижные игры в комнате со световым полом — развлечение для всех возрастов, отличный вариант для праздника или корпоратива."
33931,https://media.kudago.com/images/place/81/06/8106f69f311b48f443bcf647d702dc84.jpg,ресторан «Гвидон»,"Сказочный князь приглашает на свой чудо-остров. И хотя остров этот не на море лежит, а спокойно разместился в старинном особняке на Большой Никитской, гостей с порога окружает морская стихия. Главную роль в меню играют рыба и морепродукты."
33018,https://media.kudago.com/images/place/40/a1/40a15d3db68fc68edb3b146452d87320.jpg,парк активного отдыха для всей семьи Monkey Park,"В Monkey Park можно весело и активно отдохнуть всей семьёй или провести праздник. Покоряйте скалодром, устройте эпичную бластер-битву, взмывайте вверх на батутах и проходите запутанные лабиринты — здесь найдутся развлечения и для детей, и для взрослых. Читателям KudaGo — скидка на билеты!"
35485,https://media.kudago.com/images/place/1a/db/1adbafc2c05ce423746205c4fa410c7c.jpg,спортивно-стрелковый клуб «КАЛИБР»,"«КАЛИБР» — масштабный современный стрелковый комплекс с четырьмя крытыми галереями, огромным выбором оружия и всем необходимым для комфортной и безопасной стрельбы. Здесь можно освоить новое спортивное хобби, посостязаться с друзьями, улучшить навыки. Профессиональные инструкторы всегда готовы проконсультировать и ответить на все возникающие вопросы."
1707,https://media.kudago.com/images/place/9c/c7/9cc7be7fb75682468c88396c6080ff7c.jpeg,Каток на ВДНХ,"Общая площадь ледового покрытия на ВДНХ составляет около 20 500 м² — это самый большой каток в столице! Гостей ждут ледовая площадка и детский каток, оформленные в духе сказочной зимы."
35226,https://media.kudago.com/images/place/f0/cf/f0cf637c8c38dd09eeeb9de6c945c8c6.jpg,Интерактивный Музей Мозга,"Необычный музей приглашает освоить нейрогаджеты и узнать много интересного о работе самого сложного и загадочного органа. Гости получат ответы на вопросы о том, как мозг видит наше тело, как действует гипноз, где обитают эмоции и не только."
